SUBID,Clip Title,Clip Artist,Song-Specific Age,Self-Reported Age of Exposure,Time Period,Self-Selected or Other Selected?
13,Should I Stay or Should I Go,The Clash,21,N/A,Young Adulthood,SS
13,White Rabbit,Jefferson Airplane,6,N/A,Childhood,SS
13,The Sound of Silence,Simon & Garfunkel,3,N/A,Childhood,OS
14,Respect,Aretha Franklin,12,N/A,Adolescence,SS
14,Celebration,Kool & The Gang,25,N/A,Young Adulthood,SS
14,Don't Stop Til You Get Enough,Michael Jackson,24,N/A,Young Adulthood,SS
14,Ain't Nobody,Rufus & Chaka Khan,28,N/A,Adulthood,SS
14,You Are the Sunshine of my Life,Stevie Wonder,17,N/A,Adolescence,SS
14,The Sound of Silence,Simon & Garfunkel,9,N/A,Childhood,OS
15,The Sound of Silence,Simon & Garfunkel,8,N/A,Childhood,OS
16,I Will,Allison Krauss & Tony Furtado,32,N/A,Adulthood,SS
16,Beauty and the Beatitudes,Waxing Poetics,27,N/A,Adulthood,SS
16,Billy Bragg,The Saturday Boy,24,N/A,Young Adulthood,SS
16,Grindstone,Uncle Tupelo,32,N/A,Adulthood,SS
16,Vicious,Lou Reed,12,N/A,Adolescence,SS
16,Hurt,Johnny Cash,42,N/A,Adulthood,OS
16,The Sound of Silence,Simon & Garfunkel,4,N/A,Childhood,OS
17,Ordinary Just Won't Do,Commissioned,42,N/A,Adulthood,SS
17,The Sound of Silence,Simon & Garfunkel,17,N/A,Adolescence,OS
18,"Ah! mes amis, quel jour de fete",,N/A,30,Adulthood,SS
18,Norma - Casta Diva,Bellini,N/A,40,Adulthood,SS
18,String Serenade No 13,Mozart,N/A,25,Young Adulthood,SS
18,No Regrets Non je ne regrette rien,Piaf,30,N/A,Adulthood,SS
18,Sonata No 8,Beethoven,N/A,30,Adulthood,SS
18,The Sound of Silence,Simon & Garfunkel,34,N/A,Adulthood,OS
